"etort1","etort2","distance"
"etort-95","etort-132",43469.8250642148
"etort-112","etort-132",62689.059311887
"etort-113","etort-132",41491.8244767133
"etort-130","etort-132",3538.410242582
"etort-131","etort-132",10310.0094237041
"etort-132","etort-132",0
"etort-15","etort-133",130951.280761234
"etort-17","etort-133",197181.152370158
"etort-31","etort-133",172617.223788551
"etort-36","etort-133",91149.4162495293
"etort-37","etort-133",169034.283394962
"etort-38","etort-133",112042.728197906
"etort-46","etort-133",27196.2464331258
"etort-47","etort-133",26618.3600211161
"etort-48","etort-133",24350.2371167716
"etort-49","etort-133",54984.6909785196
"etort-51","etort-133",58504.1575959438
"etort-53","etort-133",116925.620104866
"etort-55","etort-133",23695.2400502073
"etort-56 (sheared2)","etort-133",30113.3662655375
"etort-58","etort-133",202732.059461048
"etort-59","etort-133",49420.3962560208
"etort-62","etort-133",72998.4962430349
"etort-78","etort-133",115408.871454437
"etort-79","etort-133",50528.4793644056
"etort-80","etort-133",61736.7436792211
"etort-81","etort-133",14997.5050163524
"etort-82","etort-133",16644.7682516789
"etort-83","etort-133",15991.5037703858
"etort-84","etort-133",18958.3775145333
"etort-85","etort-133",18327.8516294328
"etort-86","etort-133",163474.597893246
"etort-87","etort-133",56904.6744393239
"etort-89","etort-133",17012.1054744867
"etort-90","etort-133",14603.2106174291
"etort-93","etort-133",69185.3843396911
"etort-94","etort-133",28083.4143190256
"etort-95","etort-133",44719.3309823735
"etort-112","etort-133",57922.785498789
"etort-113","etort-133",37274.3226592323
"etort-130","etort-133",3405.03005523193
"etort-131","etort-133",10018.8161965074
"etort-132","etort-133",6862.34489997957
"etort-133","etort-133",0
"etort-15","etort-134",134806.975721317
"etort-17","etort-134",200976.265315044
"etort-31","etort-134",176381.158681214
"etort-36","etort-134",89144.2521039417
